nom,image,ville,date,nature d'annonce,prix
 autre viseur pour moto ,https://www.avito.ma/thumbs/46/4622459682.jpg,Casablanca,25 Mar,Annonce de professionnel,700
 casque / pantalon gants moto cross ,https://www.avito.ma/thumbs/46/4657797537.jpg,Oujda,25 Mar,Annonce de professionnel,700
 carenage mbk spirit ,https://www.avito.ma/thumbs/46/4645385828.jpg,Oujda,25 Mar,Annonce de professionnel,700
 Autoradio Peugeot Citroën gps téléphone ,https://www.avito.ma/thumbs/46/4659533965.jpg,Casablanca,25 Mar,Annonce de professionnel,700
 pare brise arrière pour Jeep cherokee ,https://www.avito.ma/thumbs/45/4560448581.jpg,El Jadida,24 Mar,Annonce de professionnel,700
 Accessoire moto sym st 50 ,https://www.avito.ma/thumbs/29/2905061072.jpg,Casablanca,8 Mar,Annonce de professionnel,700
 vilo mzyana ,https://www.avito.ma/thumbs/36/3685631077.jpg,Khénifra,15 Mar,Annonce de professionnel,700
 Camera ,https://www.avito.ma/thumbs/22/2267725293.jpg,Casablanca,1 Mar,Annonce de professionnel,700
 دراجة هوائية ,https://www.avito.ma/thumbs/22/2205609006.jpg,Ksar el-Kebir,1 Mar,Annonce de professionnel,700
 feu rouge arrière gauche ,https://www.avito.ma/thumbs/11/1173919007.jpg,Rabat,19 Fév,Annonce de professionnel,700
 vélo bitwin ,https://www.avito.ma/thumbs/23/2300344003.jpg,Kénitra,24 Fév,Annonce de professionnel,700
 Logo Seat leon ,https://www.avito.ma/thumbs/10/1063077733.jpg,Agadir,18 Fév,Annonce de professionnel,700
 2 pneu 18 ,https://www.avito.ma/thumbs/10/1026826304.jpg,Kénitra,18 Fév,Annonce de professionnel,700
 kasadora -2020 ,https://www.avito.ma/thumbs/10/1095993489.jpg,Tanger,18 Fév,Annonce de professionnel,700
 بيكالة RECORD ألومنيوم ,https://www.avito.ma/thumbs/06/0676695096.jpg,Fès,14 Fév,Annonce de professionnel,700
 bmx ,https://www.avito.ma/thumbs/16/1672418391.jpg,Oujda,24 Fév,Annonce de professionnel,700
 auto radio Volkswagen ,https://www.avito.ma/thumbs/16/1614688534.jpg,Casablanca,24 Fév,Annonce de professionnel,700
 Rockrider pikala mazal 10 vitesse ,https://www.avito.ma/thumbs/05/0555492015.jpg,Agadir,13 Fév,Annonce de professionnel,700
 baffs original pionner ,https://www.avito.ma/thumbs/99/9939987307.jpg,Khénifra,7 Fév,Annonce de professionnel,700
 settat ,https://www.avito.ma/thumbs/99/9966055304.jpg,Settat,7 Fév,Annonce de professionnel,700
 Bin Qualité ,https://www.avito.ma/thumbs/99/9950195503.jpg,Fès,7 Fév,Annonce de professionnel,700
 vélo master énergie ,https://www.avito.ma/thumbs/87/8744811763.jpg,Rabat,26 Jan,Annonce de professionnel,700
 Chromage de ford focus ,https://www.avito.ma/thumbs/70/7016003039.jpg,Fès,9 Jan,Annonce de professionnel,600
 الدار البيضاء ,https://www.avito.ma/thumbs/87/8703740839.jpg,Casablanca,26 Jan,Annonce de professionnel,700
 ذراجة هوائية للبيع ,https://www.avito.ma/thumbs/86/8609876079.jpg,Taroudant,25 Jan,Annonce de professionnel,700
 Logo mercedes calandre ,https://www.avito.ma/thumbs/69/6901497110.jpg,Casablanca,8 Jan,Annonce de professionnel,600
 Refaire Double Clé Renault Dacia ,https://www.avito.ma/thumbs/63/6397800885.jpg,Rabat,2 Jan,Annonce de professionnel,600
 climatisation golf 7 ,https://www.avito.ma/thumbs/69/6967945211.jpg,Casablanca,8 Jan,Annonce de professionnel,700
 Velo pour ville ,https://www.avito.ma/thumbs/80/8033020196.jpg,Meknès,19 Jan,Annonce de professionnel,700
 boot richa ,https://www.avito.ma/thumbs/63/6333428492.jpg,Sidi Allal El Bahraoui,2 Jan,Annonce de professionnel,600
 ReProng Double Clé OPEL 3Btn Á Rabat ,https://www.avito.ma/thumbs/61/6134185451.jpg,Rabat,2 Jan,Annonce de professionnel,600
 vélo gitane ba9a n9iya ,https://www.avito.ma/thumbs/62/6208023547.jpg,Mohammedia,1 Jan,Annonce de professionnel,600
 Poste radio pour Peugeot et Citroën ,https://www.avito.ma/thumbs/62/6204181559.jpg,Casablanca,1 Jan,Annonce de professionnel,600
 disc dur 700G pc portble ,https://www.avito.ma/thumbs/62/6286655454.jpg,Béni Mellal,1 Jan,Annonce de professionnel,600
 Vélo demis cours ,https://www.avito.ma/thumbs/62/6282547436.jpg,Casablanca,1 Jan,Annonce de professionnel,600
 دراجة احادية العجلة ,https://www.avito.ma/thumbs/61/6166738205.jpg,Meknès,31 Déc,Annonce de professionnel,600
 دراجة هوائية ,https://www.avito.ma/thumbs/69/6979976448.jpg,Salé,8 Jan,Annonce de professionnel,700
 boitier civic 2000 boite automatique ,https://www.avito.ma/thumbs/69/6999800954.jpg,Casablanca,8 Jan,Annonce de professionnel,700
 bécane -2017 ,https://www.avito.ma/thumbs/69/6911102141.jpg,Souk Sebt Ouled Nemma,8 Jan,Annonce de professionnel,700
 pneu 15 ,https://www.avito.ma/thumbs/68/6894074076.jpg,Casablanca,7 Jan,Annonce de professionnel,700
 Pyas aprilia SR -2019 ,https://www.avito.ma/thumbs/79/7978651818.jpg,Rabat,18 Jan,Annonce de professionnel,700
 autoradio ,https://www.avito.ma/thumbs/79/7968618932.jpg,Sala Al-Jadida,18 Jan,Annonce de professionnel,700
 voitur ,https://www.avito.ma/thumbs/79/7986533784.jpg,Berrechid,18 Jan,Annonce de professionnel,700
 voitur ,https://www.avito.ma/thumbs/79/7924978428.jpg,Berrechid,18 Jan,Annonce de professionnel,700
 vélo union ,https://www.avito.ma/thumbs/79/7935127840.jpg,Tanger,18 Jan,Annonce de professionnel,700
 vélos ,https://www.avito.ma/thumbs/79/7971732954.jpg,Fès,18 Jan,Annonce de professionnel,700
 top bike ,https://www.avito.ma/thumbs/79/7991898763.jpg,Khemisset,18 Jan,Annonce de professionnel,700
 Velo wega bike ,https://www.avito.ma/thumbs/79/7975612088.jpg,Rabat,18 Jan,Annonce de professionnel,700
